IPS10   ,IPS11   ,IPS299  ,IPS12   ,IPS13   ,IPS18   ,IPS25   ,IPS32   ,IPS34   ,IPS38   ,IPS43   ,IPS307  ,IPS306  ,PMP     ,UTL11   ,CES275  ,CES277  ,CES278  ,CES275R  ,CES277R  ,CES278 R ,CES002  ,CES003  ,CES006  ,CES011  ,CES015  ,CES017  ,CES033  ,CES046  ,CES048  ,CES049  ,CES053  ,CES088  ,CES140  ,LHEL    ,LHELX   ,LHEM    ,LHNAG   ,LHUR    ,LHU680  ,LHU5    ,LHU14   ,LHU15   ,LHU26   ,LHU27   ,CES151  ,CES155  ,HSBR    ,HSFR    ,HSNE    ,HSMW    ,HSSOU   ,HSWST   ,FYFF    ,FYGM3   ,FYGM6   ,FYGT1   ,FYGT5   ,FYGT10  ,FYAAAC  ,FYBAAC  ,Sfygm6,Sfygt1,Sfygt10,sFYAAAC  ,sFYBAAC  ,FM1     ,MZMSL,FM2     ,FMFBA   ,FMRRA   ,FMRNBA  ,BUSLOANS,CCINRV  ,PI071   ,PI072   ,PI073   ,PI074   ,PWFSA   ,PWFCSA  ,PWIMSA  ,PWCMSA  ,PWCMSAR ,PSCCOM  ,PSCCOMR ,PW561   ,PW561R   ,PMCP    ,EXRUS   ,EXRSW   ,EXRJAN  ,EXRUK   ,EXRCAN  ,FSPCOM  ,FSPIN   ,FSDXP   ,FSPXE   ,FSDJ    ,HHSNTN  ,PMI     ,PMNO    ,PMDEL   ,PMNV    ,MOCMQ   ,MSONDQ  ,CPIAUCSL,Date
5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,2,2,5,5,5,5,5,1,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,1,5,5,5,5,5,5,5,2,2,5,2,1,1,1,1,5,5,6,0
56.8521,58.7303,58.8664,65.2614,45.6488,74.801,40.3862,54.1994,33.7766,80.2465,53.2525,64.1865,82.3383,70.7,76.8048,9.44,11.4,8.84,14.90793089,18.00322163,13.96039291,75857,22698,914.1,4217,17479,10666,6813,69156,18992,4635.4,10848.1,5416,15997,73,0.554,102729,99438,8.5,19.7,3347,2644,3535,1368,2167,40.1,3.3,1668,1785,158,220,979,428,9.34,8.76,8.93,9.94,11.41,11.69,12.41,13.61,0.17,1.18,2.93,0.72,1.92,518.9,1380.2,2115.3,174605,25396,24491,415.3,353190.4,63.322,95.073,68.898,54.877,102,101.5,101.8,102.3,165.5018443,268.1714,433.8500615,92.1,149.0001941,68.1,116.68,2.1701,235.03,147.66,1.2367,165.23,185.8552,4.31,13.14,1250,87.9,66,69.2,67.5,55,101.125,23.314,101.8,01.11.1983
57.1371,59.0887,59.3026,65.3559,46.6934,74.3049,40.8425,54.4102,34.1389,79.3816,53.3941,65.8701,77.1844,80.6,76.9167,9.48,11.44,8.87,14.96330203,18.05698051,14.00047352,76202,22803,917.1,4248,17551,10727,6824,69407,19075,4658.5,10899.2,5436,16008,76,0.596,102996,99664,8.3,19.2,3455,2521,3379,1318,2061,40,3.4,1627,1688,151,202,956,379,9.47,9,9.17,10.11,11.54,11.83,12.57,13.75,0.17,1.11,2.83,0.74,1.92,521.4,1383.2,2126.5,175467,25367,24593,419.1,358041.6,63.355,95.102,68.936,54.906,102.3,101.9,101.9,103.5,167.3457509,273.1,441.5664209,92,148.7517786,71.4,118.28,2.1983,234.46,143.38,1.2469,164.3605,185.179,4.32,12.41,1257.64,91,69.9,74.8,62.1,59.6,102.361,23.246,101.4,01.12.1983
58.3038,60.2584,60.557,66.6922,47.7964,75.7355,41.7523,55.5571,35.0603,80.5141,54.3906,69.7512,78.7478,59.9,78.243,9.53,11.52,8.91,14.97815359,18.1058058,14.00370918,76647,22942,919.9,4305,17630,10789,6841,69715,19229,4686.8,10976.1,5452,16010,78,0.634,103201,99908,8,20.4,3309,2532,3254,1214,2040,40.2,3.4,1816,1897,179,276,903,539,9.56,8.9,9.01,9.9,11.37,11.67,12.2,13.65,0.11,1,2.77,0.53,1.98,525.1,1389.4,2141.2,176896,25451,24736,422.2,362877.2,63.626,94.917,69.445,55.106,103,102.7,102.1,104.6,168.6117738,279.7571,450.9592817,92.1,148.4621832,64.4,119.47,2.238,233.8,140.76,1.2484,166.3924,187.4957,4.27,12.58,1258.88,97,60.5,63.7,64.4,52.7,103.241,26.584,102.1,01.01.1984
58.5799,60.4672,60.6716,66.4968,47.9358,75.3445,42.1522,55.8943,35.7866,81.0071,54.9807,66.8133,85.7165,64,78.9663,9.53,11.45,8.92,14.87923309,17.87693797,13.92683727,77111,23146,920.3,4410,17728,10867,6861,69990,19316,4714.6,11017.8,5472,16025,81,0.675,103824,100471,7.8,19,3327,2485,2991,1157,1834,40.7,3.4,1987,2260,263,307,1187,503,9.59,9.09,9.18,10.04,11.54,11.84,12.08,13.59,0.09,0.95,2.75,0.24,1.75,527.5,1402.5,2161.4,177835,25829,25262,430.3,371202.5,64.049,94.931,69.779,55.633,103.4,103.1,102.5,103.8,166.2289411,277.86,444.9746973,92.1,147.492153,71.1,117.66,2.205,233.6,144.17,1.248,157.2505,177.1345,4.59,11.83,1164.46,93.2,61.3,64.9,61.5,52.7,103.112,26.339,102.6,01.02.1984
58.8673,60.8089,61.0382,66.7854,48.0878,75.7089,42.6346,56.1255,35.9717,81.4655,55.2533,68.1077,83.3066,61.5,79.2155,9.57,11.5,8.96,14.89285548,17.89632581,13.94357211,77381,23209,922.8,4393,17806,10929,6877,70202,19387,4731.1,11056.6,5492,16030,81,0.67,103967,100734,7.8,19.1,3335,2501,2881,1101,1780,40.2,3.5,1725,1663,161,224,839,439,9.91,9.52,9.66,10.59,12.02,12.32,12.57,13.99,0.14,1.07,2.8,0.25,1.67,531.4,1415.1,2178.4,178870,25763,24811,438,373493.1,64.259,94.967,69.856,55.94,103.8,103.6,103,105.7,168.6397141,285.5909,455.6477552,92.1,146.9415106,73.6,115.35,2.149,225.27,145.57,1.2697,157.4386,177.8459,4.63,11.2,1161.97,97.7,58.9,60.9,65.5,52.7,101.636,26.654,102.9,01.03.1984
59.2387,61.1543,61.4689,66.9503,48.0165,76.0153,43.1329,56.5168,36.1696,81.7389,55.5523,68.7652,81.6024,62.3,79.4862,9.59,11.53,8.98,14.86637316,17.87375209,13.92075402,77699,23305,922.3,4423,17872,10980,6892,70469,19464,4750.1,11101.2,5503,16075,85,0.711,104336,101045,7.7,18.9,3362,2459,2858,1094,1764,40.4,3.5,1776,1851,190,234,953,474,10.29,9.69,9.84,10.9,12.37,12.63,12.81,14.31,0.15,1.21,2.94,0.18,1.68,535,1426.3,2194.9,179896,25691,24457,443.7,377814.2,64.508,95.543,69.893,56.257,103.9,103.5,103.2,105.2,167.013288,287.005,455.6430488,91.9,145.8984902,71.9,116.53,2.1913,225.2,142.1,1.2796,157.6015,178.573,4.64,11.18,1152.71,91.4,61,63.2,64.6,54,101.964,25.575,103.3,01.04.1984
59.5375,61.3495,61.5096,66.718,47.5868,75.915,43.4115,56.9112,36.41,81.6229,55.7017,69.611,82.209,59.3,79.5263,9.61,11.56,8.99,14.87938563,17.8986158,13.91942526,77979,23389,928.4,4456,17916,11022,6894,70693,19516,4762.9,11123.8,5522,16103,86,0.736,105193,101850,7.4,18.8,3167,2387,2884,1193,1691,40.3,3.4,1741,1774,182,243,893,456,10.32,9.83,10.31,11.66,13.17,13.41,13.28,14.74,0.48,1.83,3.58,-0.13,1.33,536.7,1430.8,2207.5,180725,25882,22894,451.7,385354.2,64.586,95.543,69.805,56.437,103.8,103.5,103.4,104.5,165.5576679,291.6818,462.1067807,91.9,145.5956907,62.5,119.66,2.268,230.48,138.94,1.2944,156.5509,177.5986,4.72,11.14,1143.42,90.6,58.6,59.2,62.5,54.1,101.482,28.422,103.5,01.05.1984
59.758,61.6377,61.7579,66.6239,47.7249,75.6856,43.9726,57.0633,36.625,81.2519,55.9578,67.6648,82.1827,62.3,79.7018,9.65,11.57,9.03,14.91430073,17.88170564,13.95607623,78334,23497,933.6,4507,17967,11074,6893,70964,19612,4778.6,11181.5,5540,16127,87,0.775,105591,102208,7.2,18.1,3261,2273,2612,1036,1576,40.3,3.4,1814,1843,220,280,921,422,11.06,9.87,10.51,12.08,13.48,13.56,13.55,15.05,0.64,2.21,3.69,-0.01,1.49,540.2,1432.7,2218.5,181997,26094,22793,456.9,391575.6,64.703,95.608,69.844,56.604,103.8,103.4,103.6,103.3,163.2685317,286.9952,453.6039197,91.8,145.0924609,64,120.22,2.2832,233.57,137.7,1.304,153.1248,174.1995,4.86,10.08,1121.14,89.8,58.1,60.5,56.2,56.3,100.122,26.721,103.7,01.06.1984
59.9213,61.8173,61.9693,66.637,48.2831,75.3699,44.587,57.2085,36.9692,81.0525,56.2131,66.1016,79.6593,58.2,79.8621,9.67,11.58,9.05,14.89181489,17.83321783,13.93701394,78601,23571,935.3,4534,18013,11119,6894,71202,19695,4802.8,11236.7,5556,16172,89,0.764,105435,102091,7.5,18,3392,2472,2638,1048,1590,40.2,3.4,1605,1732,195,235,884,418,11.23,10.12,10.52,12.03,13.27,13.36,13.44,15.15,0.4,1.91,3.24,0.08,1.79,540.9,1430.2,2226.9,182995,25980,20056,461.9,396763.1,64.935,95.582,69.941,56.949,104,103.6,103.4,104,163.6558192,278.9857,439.0157047,91.7,144.3003714,61.3,124.32,2.4115,243.07,132,1.3238,151.0781,171.6986,4.93,9.92,1113.27,91.9,56.1,54.1,59.1,57.8,102.865,27.439,104.1,01.07.1984
59.988,61.9951,62.1776,66.2454,48.556,74.5928,45.1591,57.1669,36.9256,80.8382,56.3311,65.2722,79.96,54.3,79.815,9.71,11.58,9.09,14.90818645,17.779279,13.95627341,78790,23608,938.4,4547,18034,11150,6884,71406,19752,4817.5,11267.3,5574,16224,86,0.731,105163,101877,7.5,17.3,3567,2415,2604,1089,1515,40.2,3.4,1530,1586,186,221,776,403,11.64,10.47,10.61,11.82,12.68,12.72,12.87,14.63,0.14,1.35,2.25,0.15,1.91,541,1422.6,2233.6,183756,26039,18023,465,401686,65.132,95.721,70.123,57.159,103.8,103.3,103.2,103.3,162.0392157,273.9957,429.7971765,91.5,143.5294118,58.7,124.5,2.415,242.26,131.32,1.3035,164.4209,186.8552,4.62,10.67,1212.82,93.7,53,54,55.2,49.1,102.251,25.971,104.4,01.08.1984
59.8993,62.0957,62.2934,66.075,47.8963,74.7232,45.4595,56.8962,36.5441,81.0255,56.2239,65.5379,80.8156,52.2,79.44,9.74,11.58,9.12,14.93246662,17.75338433,13.98193999,79070,23617,934.6,4576,18019,11160,6859,71708,19829,4834.6,11319.8,5595,16255,88,0.771,105490,102097,7.3,17,3325,2558,2538,1087,1451,40.2,3.3,1523,1698,203,243,814,438,11.3,10.37,10.47,11.58,12.53,12.52,12.66,14.35,0.1,1.21,2.15,0.14,1.83,543.1,1425.4,2247.5,184650,26089,18847,468.7,404024.5,65.227,95.964,70.191,57.246,103.8,103.2,103.1,102.8,160.9796583,271.8842,425.7570585,91.4,143.1278285,53.4,127.77,2.5049,245.46,125.63,1.3145,166.1126,188.0979,4.54,10.22,1213.51,96.4,50,47.2,52.8,46.8,98.584,25.496,104.7,01.09.1984
59.8384,62.4879,62.7716,66.5812,47.4944,75.7553,45.757,56.3964,36.7905,80.4608,56.4655,66.2149,81.6187,53.4,79.5495,9.75,11.57,9.15,14.91327358,17.69708465,13.99553367,79337,23626,925.1,4590,18024,11165,6859,71985,19920,4847.8,11387.1,5620,16274,89,0.778,105638,102444,7.4,16.7,3423,2392,2526,1099,1427,40.1,3.2,1490,1590,211,226,749,404,9.99,9.74,9.87,10.9,12.06,12.16,12.63,13.94,0.13,1.16,2.42,0.47,1.78,543.7,1437.1,2262.1,185221,26259,20242,473.6,408425.5,65.378,95.87,70.372,57.415,103.6,103.1,103.2,101.5,158.591272,267.1,417.3372291,91.3,142.654021,51.7,129.23,2.5245,246.75,121.96,1.3189,164.8187,185.4413,4.62,10.14,1199.3,91.6,50.8,52.9,49.3,45.6,100.037,26.38,105.1,01.10.1984
